ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck485bprvslk60886d17rs8ah,ck4855fi8bt1h0enrd1nagbit,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F6c46c0d3-1220-22c1-859b-bcf53ea15c6e-222.jpg?Expires=1578383880554&KeyName=labelbox-assets-key-1&Signature=MSnhOs6wxjesQMQRe_NfglMWLq8,"{""objects"":[{""featureId"":""ck485blmc01vl0y7m20op3ivx"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fi8bt1h0enrd1nagbit/0?feature=ck485blmc01vl0y7m20op3ivx&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483085000,1576483085000,16.678,222.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485bprvslk60886d17rs8ah
ck485c4blwoqq0782ohtbk8tn,ck4855fi9bt510enreoqld09f,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F38df20a7-5f39-4fe7-9510-59d3af4371b7-254.jpg?Expires=1578383880554&KeyName=labelbox-assets-key-1&Signature=tZ8DQgNNJV1BXCT9RuGyRZBbm8w,"{""objects"":[{""featureId"":""ck485c26r01hh0ybm653s72my"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fi9bt510enreoqld09f/0?feature=ck485c26r01hh0ybm653s72my&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483104000,1576483104000,11.537,254.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485c4blwoqq0782ohtbk8tn
ck485cn0vslyj0886o1ako40x,ck4855figbt8l0enrfvb2a4pe,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F1e878be2-190a-2c8a-173a-15727b149f1f-287.jpg?Expires=1578383880554&KeyName=labelbox-assets-key-1&Signature=5NGbFeR92Ee0YvTaRCSyAkuGjMg,"{""objects"":[{""featureId"":""ck485cl3s01hk0ybmluv8d7lq"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855figbt8l0enrfvb2a4pe/0?feature=ck485cl3s01hk0ybmluv8d7lq&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483128000,1576483128000,14.406,287.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485cn0vslyj0886o1ako40x
ck485ds17aydw0963ghgirf92,ck4855fhjbsg50enrahxa05pz,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F7c83b679-2d15-8f03-4f7f-fb79fe5ae6b5-21.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=ZXUO5DG3k2MWEz-schC4Q2ZCqZQ,"{""objects"":[{""featureId"":""ck485d5bq01pq10axwt6qs8zq"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fhjbsg50enrahxa05pz/0?feature=ck485d5bq01pq10axwt6qs8zq&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483182000,1576483182000,35.573,21.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485ds17aydw0963ghgirf92
ck485eabiqf3n0a477agrfieu,ck4855fhtbsjp0enrhxne3obn,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F41634fb7-946e-7132-42b8-5a9f9baca1f6-53.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=6jICJKHVG4yc3CmQB4xwNGjhW7g,"{""objects"":[{""featureId"":""ck485e7tl01hu0ybmv9mkfn70"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fhtbsjp0enrhxne3obn/0?feature=ck485e7tl01hu0ybmv9mkfn70&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483205000,1576483205000,16.887,53.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485eabiqf3n0a477agrfieu
ck485fppcsn7x0886wih3tyfj,ck4855fhvbsn90enrewpt9u8e,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F7b1e85c1-2015-b00b-dee6-74cdc9923c88-85.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=DrpeHgxUkQQnakE-U3lRPKB5YI8,"{""objects"":[{""featureId"":""ck485f9y501vx0y7mz7fr0zgc"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fhvbsn90enrewpt9u8e/0?feature=ck485f9y501vx0y7mz7fr0zgc&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483272000,1576483272000,46.296,85.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485fppcsn7x0886wih3tyfj
ck485g31xazbf0963oi4p0l7f,ck4855fhxbsqt0enrdyhr27g3,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2Fc61602df-aa11-c829-b087-e63155d6161b-117.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=efhRvSkrg_4bsK88ZWX-Ypda64Q,"{""objects"":[{""featureId"":""ck485g1em01i50ybmkj9p9pta"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fhxbsqt0enrdyhr27g3/0?feature=ck485g1em01i50ybmkj9p9pta&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483289000,1576483289000,9.951,117.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485g31xazbf0963oi4p0l7f
ck485gj5razij0963r8wgzmns,ck4855fhzbsud0enrft68ahym,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F9e85ef3a-0014-37d3-8b80-7c70e71f1829-149.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=8kYb4IIEl7yKE9FtOz7o2Fp9nm4,"{""objects"":[{""featureId"":""ck485ggp701w20y7m6o99h0l8"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fhzbsud0enrft68ahym/0?feature=ck485ggp701w20y7m6o99h0l8&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483310000,1576483310000,11.768,149.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485gj5razij0963r8wgzmns
ck485hus8yjr908001j21116z,ck4855fi5bsxx0enrhl8qbxnl,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2F013b68e2-df74-1ecf-e67b-82767f41af16-181.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=0UkskHa_jRBydLSxyR_oFzpVyeg,"{""objects"":[{""featureId"":""ck485gyhs01qj10axrx1dfaqm"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fi5bsxx0enrhl8qbxnl/0?feature=ck485gyhs01qj10axrx1dfaqm&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""},{""featureId"":""ck485ht1d01w50y7mckytcpy8"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fi5bsxx0enrhl8qbxnl/0?feature=ck485ht1d01w50y7mckytcpy8&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483372000,1576483372000,31.742,181.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485hus8yjr908001j21116z
ck485ib3myjxn0800vw391f9c,ck4855fi8bt1t0enrgmnj0cjv,https://storage.labelbox.com/ck481v3v7504r0804zv26y6kv%2Fe4bb988e-c63e-12a5-755b-ef8fd3f72202-225.jpg?Expires=1578383880555&KeyName=labelbox-assets-key-1&Signature=32KeF9zHtgvPyZ181zq7ZcM9dbY,"{""objects"":[{""featureId"":""ck485i9d801il0ybmuz7g26fx"",""schemaId"":""ck485ayl86pps0804nltwrrya"",""title"":""hvac"",""value"":""hvac"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/ck481xxdcv0at0782un491ij5/ck481v3vvqv9i0886qqap4xew/ck4855fi8bt1t0enrgmnj0cjv/0?feature=ck485i9d801il0ybmuz7g26fx&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazQ4MXYzdnZxdjlpMDg4NnFxYXA0eGV3Iiwib3JnYW5pemF0aW9uSWQiOiJjazQ4MXYzdjc1MDRyMDgwNHp2MjZ5Nmt2IiwiaWF0IjoxNTc3MTc0MjgwLCJleHAiOjE1Nzk3NjYyODB9.seOlEiu629JPxEoVQCot1B8t3d9CXK6rCqtc6SlK2Vg""}],""classifications"":[]}",2muhammadazhar@gmail.com,HVAC,1576483393000,1576483393000,16.207,225.jpg,,,,,hvac units,[],https://editor.labelbox.com?project=ck481xxdcv0at0782un491ij5&label=ck485ib3myjxn0800vw391f9c
